date,value,climvar,model,scenario
2006-01-01,74.745882732,tasmax,CanESM2,rcp45
2007-01-01,76.2003004188,tasmax,CanESM2,rcp45
2008-01-01,76.3650636276,tasmax,CanESM2,rcp45
2009-01-01,76.1995393041,tasmax,CanESM2,rcp45
2010-01-01,77.2566188789,tasmax,CanESM2,rcp45
2011-01-01,76.8642098905,tasmax,CanESM2,rcp45
2012-01-01,76.7284052835,tasmax,CanESM2,rcp45
2013-01-01,77.752068299,tasmax,CanESM2,rcp45
2014-01-01,74.2024468428,tasmax,CanESM2,rcp45
2015-01-01,75.6796254832,tasmax,CanESM2,rcp45
2016-01-01,76.2640165915,tasmax,CanESM2,rcp45
2017-01-01,76.2361815399,tasmax,CanESM2,rcp45
2018-01-01,78.3507393686,tasmax,CanESM2,rcp45
2019-01-01,76.7328269974,tasmax,CanESM2,rcp45
2020-01-01,77.725900451,tasmax,CanESM2,rcp45
2021-01-01,78.105587951,tasmax,CanESM2,rcp45
2022-01-01,76.1831209729,tasmax,CanESM2,rcp45
2023-01-01,77.5319974227,tasmax,CanESM2,rcp45
2024-01-01,78.2968451997,tasmax,CanESM2,rcp45
2025-01-01,77.2676006765,tasmax,CanESM2,rcp45
2026-01-01,78.8427456508,tasmax,CanESM2,rcp45
2027-01-01,76.4672342139,tasmax,CanESM2,rcp45
2028-01-01,77.3563611469,tasmax,CanESM2,rcp45
2029-01-01,77.458060567,tasmax,CanESM2,rcp45
2030-01-01,78.3742251933,tasmax,CanESM2,rcp45
2031-01-01,78.5233311856,tasmax,CanESM2,rcp45
2032-01-01,78.4144555412,tasmax,CanESM2,rcp45
2033-01-01,77.7532280928,tasmax,CanESM2,rcp45
2034-01-01,78.4683134665,tasmax,CanESM2,rcp45
2035-01-01,76.9780509021,tasmax,CanESM2,rcp45
2036-01-01,79.6663442332,tasmax,CanESM2,rcp45
2037-01-01,78.7663079897,tasmax,CanESM2,rcp45
2038-01-01,78.5155750644,tasmax,CanESM2,rcp45
2039-01-01,78.9307087629,tasmax,CanESM2,rcp45
2040-01-01,77.6851264497,tasmax,CanESM2,rcp45
2041-01-01,78.4770844072,tasmax,CanESM2,rcp45
2042-01-01,77.7003487436,tasmax,CanESM2,rcp45
2043-01-01,78.8435792526,tasmax,CanESM2,rcp45
2044-01-01,77.4691148518,tasmax,CanESM2,rcp45
2045-01-01,79.8713015464,tasmax,CanESM2,rcp45
2046-01-01,78.2351586662,tasmax,CanESM2,rcp45
2047-01-01,78.2984761598,tasmax,CanESM2,rcp45
2048-01-01,79.2831773518,tasmax,CanESM2,rcp45
2049-01-01,77.9986694588,tasmax,CanESM2,rcp45
2050-01-01,78.6755178802,tasmax,CanESM2,rcp45
2051-01-01,78.5620393041,tasmax,CanESM2,rcp45
2052-01-01,77.6660260954,tasmax,CanESM2,rcp45
2053-01-01,79.9821343428,tasmax,CanESM2,rcp45
2054-01-01,80.0332740013,tasmax,CanESM2,rcp45
2055-01-01,80.3148864369,tasmax,CanESM2,rcp45
2056-01-01,79.7265810245,tasmax,CanESM2,rcp45
2057-01-01,78.1244346005,tasmax,CanESM2,rcp45
2058-01-01,80.3583062178,tasmax,CanESM2,rcp45
2059-01-01,79.307605509,tasmax,CanESM2,rcp45
